"WaterYear","Facility","Study","AcreFeet","MinutesPumping","SampleTimeLength","PrimaryDepth","PrimaryFlow","BayPump1","BayPump2","BayPump3","BayPump4","BayPump5","BuildingCode","FL","AdClip","Bay1","Bay2","Bay3","Bay4","Bay5","TotalWidth","Race","Salvage","Encounter","Entrain","Release","Loss_SalvageData","SampleDateTime","SampleDate","SampleTime","duplicateID","ArchiveID","LAD_GeneticData","GeneticAssignment","Salvage_KevinReece","Loss_GeneticData","QAQC_Loss_Difference"
1998,"SWP",0,13200,120,10,20.2,6400,FALSE,FALSE,TRUE,TRUE,TRUE,"NS",137,FALSE,0,0,43,43,21,107,"LF",12,16.22839993,64.9135997,12,52.91,1997-12-13 19:00:00,1997-12-13,"19:00:00",1,"U971674SWP","LateFall","Winter",12,52.92,0.0100000000000051
1998,"SWP",0,14397,180,20,21.1,5650,FALSE,FALSE,TRUE,TRUE,TRUE,"OS",99,FALSE,0,0,43,43,21,107,"W",9,11.94226609,47.76906435,8.82,38.95,1997-12-15 16:00:00,1997-12-15,"16:00:00",1,"U971761SWP","Winter","Winter",9,38.95,0
1998,"SWP",0,14397,180,15,20,6400,FALSE,FALSE,TRUE,TRUE,TRUE,"NS",101,FALSE,0,0,43,43,21,107,"W",12,16.19086049,64.76344194,12,52.76,1997-12-15 10:00:00,1997-12-15,"10:00:00",1,"U971677SWP","Winter","Winter",12,52.76,0
1998,"SWP",0,12970,60,15,19.4,6400,FALSE,FALSE,TRUE,TRUE,TRUE,"NS",119,FALSE,0,0,43,43,21,107,"W",4,5.358236217,21.43294487,4,17.43,1997-12-19 15:00:00,1997-12-19,"15:00:00",1,"U971679SWP","Winter","Winter",4,17.43,0
1998,"SWP",0,13877,120,15,21.4,6025,FALSE,FALSE,TRUE,TRUE,TRUE,"OS",92,FALSE,0,0,43,43,21,107,"W",8,10.5265517,42.10620678,7.84,34.27,1998-01-01 17:00:00,1998-01-01,"17:00:00",1,"U980001SWP","Winter","Winter",8,34.26,0.0100000000000051
1998,"SWP",0,13877,180,10,21.7,6025,FALSE,FALSE,TRUE,TRUE,TRUE,"NS",114,FALSE,0,0,43,43,21,107,"W",18,25.06118206,100.2447282,18,82.24,1998-01-01 20:00:00,1998-01-01,"20:00:00",1,"U980101SWP","Winter","Winter",18,82.25,0.0100000000000051
1998,"SWP",0,9310,120,30,20.8,5650,TRUE,TRUE,TRUE,FALSE,FALSE,"NS",136,FALSE,21,21,43,0,0,85,"W",4,5.311865545,21.24746218,4,17.25,1998-03-03 19:00:00,1998-03-03,"19:00:00",1,"U980141SWP","Winter","Winter",4,17.25,0
1998,"CVP",0,3469,120,10,19.2,1613,TRUE,TRUE,TRUE,TRUE,FALSE,"F",136,FALSE,21,21,43,43,0,84,"W",4,19.17217182,22.55549626,12,10.56,1998-03-09 02:00:00,1998-03-09,"02:00:00",1,"U981428CVP","Winter","Winter",12,10.56,0
1998,"CVP",0,3770,120,10,19.6,1646,TRUE,TRUE,TRUE,TRUE,FALSE,"F",131,FALSE,21,21,43,43,0,84,"W",12,19.17282266,22.55626196,12,10.56,1998-03-14 23:59:00,1998-03-14,"23:59:00",1,"U981451CVP","Winter","Winter",12,10.56,0
1998,"CVP",0,3747,120,10,18.2,1528,TRUE,TRUE,TRUE,TRUE,FALSE,"F",105,FALSE,21,21,43,43,0,84,"S",6,19.17331989,22.55684693,12,10.56,1998-03-20 20:00:00,1998-03-20,"20:00:00",1,"U981586CVP","Spring","Winter",12,10.56,0
1998,"CVP",0,3747,120,10,18.2,1528,TRUE,TRUE,TRUE,TRUE,FALSE,"F",135,FALSE,21,21,43,43,0,84,"W",6,19.17331989,22.55684693,12,10.56,1998-03-20 20:00:00,1998-03-20,"20:00:00",1,"U981585CVP","Winter","Winter",12,10.56,0
1998,"CVP",0,3757,120,10,18.8,1579,TRUE,TRUE,TRUE,TRUE,FALSE,"F",138,FALSE,21,21,43,43,0,84,"W",6,19.17261638,22.55601927,12,10.56,1998-03-21 18:00:00,1998-03-21,"18:00:00",1,"U981603CVP","Winter","Winter",12,10.56,0
1998,"CVP",0,5905,120,10,20,3360,TRUE,TRUE,TRUE,TRUE,FALSE,"F",136,FALSE,21,21,43,43,0,84,"W",4,17.54899093,20.64587169,12,8.65,1998-03-24 18:00:00,1998-03-24,"18:00:00",1,"U981660CVP","Winter","Winter",12,8.65,0
1999,"SWP",0,11241,180,20,21.1,8660,TRUE,TRUE,TRUE,TRUE,TRUE,"NS",122,FALSE,21,21,43,43,21,149,"LF",9,12.37133983,49.48535933,9,40.49,1998-10-25 02:00:00,1998-10-25,"02:00:00",1,"U980497SWP","LateFall","Winter",9,40.49,0
1999,"CVP",0,8568,120,10,19.6,4116,TRUE,TRUE,TRUE,TRUE,FALSE,"F",129,FALSE,21,21,43,43,0,84,"W",4,16.83619783,19.80729156,12,7.81,1999-01-27 18:00:00,1999-01-27,"18:00:00",1,"U990201CVP","Winter","Winter",12,7.81,0
1999,"CVP",0,8691,120,10,16.8,3528,TRUE,TRUE,TRUE,TRUE,FALSE,"F",129,FALSE,21,21,43,43,0,84,"W",2.4,16.83619783,19.80729156,12,7.81,1999-02-05 06:00:00,1999-02-05,"06:00:00",1,"U990278CVP","Winter","Winter",12,7.81,0
1999,"CVP",0,8634,120,10,19.9,4179,TRUE,TRUE,TRUE,TRUE,FALSE,"F",131,FALSE,21,21,43,43,0,84,"W",2.4,16.83619783,19.80729156,12,7.81,1999-02-11 14:00:00,1999-02-11,"14:00:00",1,"U990343CVP","Winter","Winter",12,7.81,0
1999,"CVP",0,8577,120,10,18.4,3864,TRUE,TRUE,TRUE,TRUE,FALSE,"F",136,FALSE,21,21,43,43,0,84,"W",6,16.83619783,19.80729156,12,7.81,1999-02-23 08:00:00,1999-02-23,"08:00:00",1,"U990380CVP","Winter","Winter",12,7.81,0
1999,"CVP",0,8577,120,10,19.5,4095,TRUE,TRUE,TRUE,TRUE,FALSE,"F",154,FALSE,21,21,43,43,0,84,"W",1.33333333333333,16.83619783,19.80729156,12,7.81,1999-02-23 16:00:00,1999-02-23,"16:00:00",1,"U990381CVP","Winter","Winter",12,7.81,0
1999,"SWP",9999,4917,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"NS",158,FALSE,0,0,0,0,0,0,"W",0.333333333333333,NA,NA,1,4.33,1999-03-02 00:01:00,1999-03-02,"00:01:00",1,"U990038SWP","Winter","Winter",1,4.33,0
1999,"CVP",0,8662,120,10,18.6,3906,TRUE,TRUE,TRUE,TRUE,FALSE,"F",124,FALSE,21,21,43,43,0,84,"W",6,16.83619783,19.80729156,12,7.81,1999-03-04 23:59:00,1999-03-04,"23:59:00",1,"U990536CVP","Winter","Winter",12,7.81,0
1999,"SWP",0,7806,60,10,22.7,8285,TRUE,TRUE,TRUE,TRUE,TRUE,"NS",167,FALSE,21,21,43,43,21,149,"W",1.5,8.452763709,33.81105484,6,27.81,1999-03-05 01:00:00,1999-03-05,"01:00:00",1,"U990043SWP","Winter","Winter",6,27.81,0
1999,"SWP",0,7806,120,10,22.7,8285,TRUE,TRUE,TRUE,TRUE,FALSE,"OS",117,FALSE,21,21,43,43,0,128,"W",12,16.36894499,65.47577997,12,53.48,1999-03-05 23:59:00,1999-03-05,"23:59:00",1,"U990047SWP","Winter","Winter",12,53.48,0
1999,"SWP",0,7760,60,10,22.4,9790,TRUE,TRUE,TRUE,TRUE,TRUE,"NS",116,FALSE,21,21,43,43,21,149,"W",1.5,8.131900386,32.52760154,6,26.53,1999-03-06 01:00:00,1999-03-06,"01:00:00",1,"U990048SWP","Winter","Winter",6,26.53,0
1999,"CVP",0,8674,120,10,17.9,3759,TRUE,TRUE,TRUE,TRUE,FALSE,"F",114,FALSE,21,21,43,43,0,84,"W",4,16.83619783,19.80729156,12,7.81,1999-03-06 02:00:00,1999-03-06,"02:00:00",1,"U990560CVP","Winter","Winter",12,7.81,0
1999,"SWP",0,8889,120,30,22.3,4520,FALSE,TRUE,TRUE,FALSE,FALSE,"NS",155,FALSE,0,21,43,0,0,64,"W",2,5.323597278,21.29438911,4,17.29,1999-03-07 15:00:00,1999-03-07,"15:00:00",1,"U990056SWP","Winter","Winter",4,17.29,0
1999,"SWP",0,8889,120,30,21.8,4520,FALSE,TRUE,TRUE,FALSE,FALSE,"NS",125,FALSE,0,21,43,0,0,64,"W",2,5.293964531,21.17585813,4,17.18,1999-03-07 21:00:00,1999-03-07,"21:00:00",1,"U990057SWP","Winter","Winter",4,17.18,0
1999,"SWP",0,8889,120,30,21.8,4520,FALSE,TRUE,TRUE,FALSE,FALSE,"NS",127,FALSE,0,21,43,0,0,64,"W",2,5.293964531,21.17585813,4,17.18,1999-03-07 21:00:00,1999-03-07,"21:00:00",1,"U990058SWP","Winter","Winter",4,17.18,0
1999,"CVP",0,8641,120,10,19.6,4116,TRUE,TRUE,TRUE,TRUE,FALSE,"F",121,FALSE,21,21,43,43,0,84,"W",4,16.83619783,19.80729156,12,7.81,1999-03-08 10:00:00,1999-03-08,"10:00:00",1,"U990646CVP","Winter","Winter",12,7.81,0
1999,"SWP",0,6433,180,15,21.6,7910,TRUE,TRUE,TRUE,TRUE,FALSE,"OS",157,FALSE,21,21,43,43,0,128,"W",4,16.35657427,65.42629706,12,53.43,1999-03-09 06:00:00,1999-03-09,"06:00:00",1,"U990104SWP","Winter","Winter",12,53.43,0
1999,"CVP",0,8622,120,10,19.6,4116,TRUE,TRUE,TRUE,TRUE,FALSE,"F",122,FALSE,21,21,43,43,0,84,"W",4,16.83619783,19.80729156,12,7.81,1999-03-09 10:00:00,1999-03-09,"10:00:00",1,"U990658CVP","Winter","Winter",12,7.81,0
1999,"CVP",0,8639,120,10,17.6,3696,TRUE,TRUE,TRUE,TRUE,FALSE,"F",141,FALSE,21,21,43,43,0,84,"W",6,16.83619783,19.80729156,12,7.81,1999-03-11 23:59:00,1999-03-11,"23:59:00",1,"U990682CVP","Winter","Winter",12,7.81,0
1999,"SWP",0,6545,120,20,21.7,6780,FALSE,TRUE,TRUE,TRUE,FALSE,"NS",131,FALSE,0,21,43,43,0,107,"W",1,8.14034722,32.56138888,6,26.56,1999-03-12 03:00:00,1999-03-12,"03:00:00",1,"U990080SWP","Winter","Winter",6,26.56,0
1999,"SWP",0,6545,120,20,22,6780,FALSE,TRUE,TRUE,TRUE,FALSE,"NS",138,FALSE,0,21,43,43,0,107,"W",3,8.165889431,32.66355772,6,26.66,1999-03-12 07:00:00,1999-03-12,"07:00:00",1,"U990082SWP","Winter","Winter",6,26.66,0
1999,"SWP",0,11302,120,20,21.9,5650,TRUE,TRUE,TRUE,FALSE,FALSE,"NS",162,FALSE,21,21,43,0,0,85,"W",6,8.067364553,32.26945821,6,26.27,1999-03-14 15:00:00,1999-03-14,"15:00:00",1,"U990100SWP","Winter","Winter",6,26.27,0
1999,"SWP",0,11302,120,20,22,5650,TRUE,TRUE,TRUE,FALSE,FALSE,"NS",118,FALSE,21,21,43,0,0,85,"W",1.5,8.076038566,32.30415427,6,26.3,1999-03-14 19:00:00,1999-03-14,"19:00:00",1,"U990112SWP","Winter","Winter",6,26.3,0
1999,"SWP",0,11302,120,20,22,5650,TRUE,TRUE,TRUE,FALSE,FALSE,"NS",136,FALSE,21,21,43,0,0,85,"W",1.5,8.076038566,32.30415427,6,26.3,1999-03-14 19:00:00,1999-03-14,"19:00:00",1,"U990113SWP","Winter","Winter",6,26.3,0
1999,"SWP",0,5721,180,10,20.5,7530,FALSE,TRUE,TRUE,TRUE,TRUE,"NS",123,FALSE,0,21,43,43,21,128,"W",9,24.5180306,98.07212242,18,80.07,1999-03-15 06:00:00,1999-03-15,"06:00:00",1,"U990120SWP","Winter","Winter",18,80.06,0.00999999999999091
1999,"CVP",0,8655,120,10,18.7,3927,TRUE,TRUE,TRUE,TRUE,FALSE,"F",113,FALSE,21,21,43,43,0,84,"W",12,16.83619783,19.80729156,12,7.81,1999-03-15 08:00:00,1999-03-15,"08:00:00",1,"U990733CVP","Winter","Winter",12,7.81,0
1999,"CVP",0,8655,120,10,19.8,4158,TRUE,TRUE,TRUE,TRUE,FALSE,"F",105,FALSE,21,21,43,43,0,84,"S",12,16.83619783,19.80729156,12,7.81,1999-03-15 16:00:00,1999-03-15,"16:00:00",1,"U990734CVP","Spring","Winter",12,7.81,0
1999,"CVP",0,8655,120,10,19.5,4095,TRUE,TRUE,TRUE,TRUE,FALSE,"F",119,FALSE,21,21,43,43,0,84,"W",2.4,16.83619783,19.80729156,12,7.81,1999-03-15 20:00:00,1999-03-15,"20:00:00",1,"U990736CVP","Winter","Winter",12,7.81,0
1999,"SWP",0,5922,120,10,21.2,7530,FALSE,TRUE,TRUE,TRUE,TRUE,"NS",128,FALSE,0,21,43,43,21,128,"W",6,16.4684194,65.87367759,12,53.87,1999-03-16 03:00:00,1999-03-16,"03:00:00",1,"U990123SWP","Winter","Winter",12,53.87,0
1999,"CVP",0,8623,120,10,19.5,4095,TRUE,TRUE,TRUE,TRUE,FALSE,"F",115,FALSE,21,21,43,43,0,84,"W",12,16.83619783,19.80729156,12,7.81,1999-03-16 16:00:00,1999-03-16,"16:00:00",1,"U990761CVP","Winter","Winter",12,7.81,0
1999,"CVP",0,8635,120,10,19.8,4158,TRUE,TRUE,TRUE,TRUE,FALSE,"F",64,FALSE,21,21,43,43,0,84,"F",6,15.92568016,18.73609431,11.76,6.98,1999-03-17 18:00:00,1999-03-17,"18:00:00",1,"U990784CVP","Fall","Winter",12,6.98,0
1999,"CVP",0,8635,120,60,18.3,3843,TRUE,TRUE,TRUE,TRUE,FALSE,"F",131,FALSE,21,21,43,43,0,84,"W",0.032258064516129,2.806032971,3.30121526,2,1.3,1999-03-17 22:00:00,1999-03-17,"22:00:00",1,"U990798CVP","Winter","Winter",2,1.3,0
1999,"CVP",0,8602,120,120,19.1,4011,TRUE,TRUE,TRUE,TRUE,FALSE,"F",148,FALSE,21,21,43,43,0,84,"W",0.0666666666666667,1.403016485,1.65060763,1,0.65,1999-03-18 11:00:00,1999-03-18,"11:00:00",1,"U990829CVP","Winter","Winter",1,0.65,0
1999,"CVP",0,8602,120,10,18.2,3822,TRUE,TRUE,TRUE,TRUE,FALSE,"F",109,FALSE,21,21,43,43,0,84,"W",4,16.83619783,19.80729156,12,7.81,1999-03-18 23:59:00,1999-03-18,"23:59:00",1,"U990840CVP","Winter","Winter",12,7.81,0
1999,"SWP",0,4660,120,20,21.2,3390,TRUE,FALSE,TRUE,FALSE,FALSE,"NS",134,FALSE,21,0,43,0,0,64,"W",6,8.419107054,33.67642822,6,27.68,1999-03-19 09:00:00,1999-03-19,"09:00:00",1,"U990146SWP","Winter","Winter",6,27.68,0
1999,"CVP",0,8898,60,60,19.6,4106,TRUE,TRUE,TRUE,TRUE,FALSE,"F",121,FALSE,21,21,43,43,0,84,"W",0.142857142857143,1.403709086,1.651422455,1,0.65,1999-03-19 11:00:00,1999-03-19,"11:00:00",1,"U990850CVP","Winter","Winter",1,0.65,0
